epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0283,1.74275,2.2516,1.62589,0.24409,0.21771,0.15265,0.05348,2.81059,3.1692,2.86495,0.000664319,0.000664319,0.000664319
2,186.096,1.80831,1.81528,1.67378,0.47908,0.45438,0.41356,0.15376,2.06773,2.09265,2.1872,0.00128706,0.00128706,0.00128706
3,276.635,1.78685,1.77564,1.63061,0.53446,0.50678,0.50022,0.21847,1.81886,2.17154,1.91869,0.00186581,0.00186581,0.00186581
4,366.912,1.72188,1.66037,1.58256,0.43016,0.5278,0.4501,0.19933,1.78944,1.81434,1.92103,0.001802,0.001802,0.001802
5,457.611,1.65409,1.53905,1.51991,0.44833,0.50768,0.4265,0.18309,1.81954,1.93512,1.89151,0.001736,0.001736,0.001736
6,547.793,1.63213,1.47124,1.49563,0.49992,0.53823,0.50229,0.23212,1.73765,1.82905,1.83345,0.00167,0.00167,0.00167
7,638.045,1.57997,1.40464,1.46638,0.56478,0.48329,0.53012,0.22994,1.8317,1.68303,1.89742,0.001604,0.001604,0.001604
8,728.566,1.55995,1.37231,1.45159,0.52494,0.54833,0.51901,0.2537,1.67706,1.69981,1.81017,0.001538,0.001538,0.001538
9,818.768,1.5375,1.31801,1.45047,0.5681,0.57814,0.56995,0.28067,1.72466,1.56738,1.82651,0.001472,0.001472,0.001472
10,909.142,1.49782,1.26103,1.42647,0.63702,0.63415,0.65154,0.30443,1.70072,1.47796,1.83019,0.001406,0.001406,0.001406
11,999.393,1.47686,1.25465,1.40883,0.62243,0.60524,0.63503,0.31899,1.6116,1.44999,1.71293,0.00134,0.00134,0.00134
12,1089.75,1.46411,1.20165,1.39512,0.55778,0.55104,0.54739,0.25304,1.73052,1.59497,1.82659,0.001274,0.001274,0.001274
13,1180.54,1.44297,1.16689,1.37853,0.59733,0.58693,0.60657,0.30564,1.65681,1.5577,1.76649,0.001208,0.001208,0.001208
14,1271.53,1.41466,1.14181,1.35874,0.59819,0.57272,0.58279,0.27873,1.70586,1.49079,1.80036,0.001142,0.001142,0.001142
15,1362.63,1.40108,1.13703,1.36096,0.66321,0.6215,0.66271,0.33597,1.60118,1.42501,1.73858,0.001076,0.001076,0.001076
16,1453.67,1.3621,1.08194,1.33323,0.64193,0.59892,0.64984,0.33186,1.60596,1.46109,1.72139,0.00101,0.00101,0.00101
17,1544.39,1.35984,1.06161,1.33095,0.61855,0.65673,0.67,0.34321,1.56118,1.39505,1.66743,0.000944,0.000944,0.000944
18,1635.09,1.32799,1.03631,1.30233,0.6472,0.65041,0.68554,0.35286,1.58621,1.33212,1.71832,0.000878,0.000878,0.000878
19,1725.39,1.3287,1.02941,1.30674,0.67774,0.65673,0.70053,0.36325,1.62203,1.30446,1.74944,0.000812,0.000812,0.000812
20,1815.67,1.30473,0.98601,1.29894,0.6803,0.62664,0.68098,0.34905,1.57753,1.35015,1.72088,0.000746,0.000746,0.000746
21,1906.18,1.2915,0.93973,1.29405,0.67533,0.67028,0.70122,0.36561,1.56343,1.3515,1.7125,0.00068,0.00068,0.00068
22,1994.65,1.2561,0.89442,1.27079,0.73745,0.66125,0.7161,0.38058,1.53953,1.23545,1.68855,0.000614,0.000614,0.000614
23,2083.16,1.23583,0.87281,1.262,0.69802,0.69949,0.73139,0.39306,1.56984,1.21029,1.73271,0.000548,0.000548,0.000548
24,2172.05,1.19807,0.83708,1.2457,0.70068,0.70732,0.71417,0.37666,1.59308,1.20867,1.74537,0.000482,0.000482,0.000482
25,2261.14,1.18561,0.80678,1.2257,0.67833,0.68564,0.70719,0.37321,1.57361,1.25509,1.72605,0.000416,0.000416,0.000416
26,2349.82,1.16321,0.77882,1.21884,0.70061,0.68202,0.7168,0.38316,1.58796,1.19619,1.75538,0.00035,0.00035,0.00035
27,2438,1.13598,0.76087,1.20531,0.71223,0.68022,0.72182,0.37902,1.61741,1.18815,1.78524,0.000284,0.000284,0.000284
28,2526.71,1.1213,0.73322,1.18756,0.72598,0.65944,0.72233,0.3899,1.56957,1.20203,1.75199,0.000218,0.000218,0.000218
29,2615.54,1.09714,0.70782,1.17721,0.69563,0.71725,0.73862,0.40063,1.55698,1.16882,1.73086,0.000152,0.000152,0.000152
30,2704.86,1.0803,0.69018,1.16595,0.72479,0.69286,0.74456,0.40552,1.55469,1.13359,1.73538,8.6e-05,8.6e-05,8.6e-05
